"","id","nat","age","gender","edu","tuk","tus","fampart","famgt","tg","group","period","pdmv1","pdmv2","pdt1","pdt2","role2","ugmv2","payoff2","ugt2","role1","ugmv1","payoff1","ugt1","ugcc2","ugcc1"
"158",308600,"1",21,0,4,0.25,21,1,2,1,15,2,1,0,2195,2606,0,50,50,5460,0,"49",51,7967,1,0.98
"159",308600,"1",21,0,4,0.25,21,1,2,1,15,4,1,0,2353,2302,0,4,0,3507,0,"40",0,13798,0.08,0.8
"160",308600,"1",21,0,4,0.25,21,1,2,1,15,3,1,0,2192,2026,0,37,0,3836,0,"49",51,12716,0.74,0.98
"161",308601,"0",19,1,1,19,0,1,3,1,15,3,1,1,3477,4226,0,38,0,3613,1,"ACCEPT",49,18015,0.76,1
"162",308601,"0",19,1,1,19,0,1,3,1,15,4,1,1,4149,3589,0,49,51,3048,1,"REJECT",0,17283,0.98,0
"163",308601,"0",19,1,1,19,0,1,3,1,15,2,1,0,3609,1680,0,25,0,5363,1,"ACCEPT",49,14865,0.5,1
"164",308601,"0",19,1,1,19,0,1,3,1,15,5,0,0,3634,1105,0,40,60,8397,1,"REJECT",0,14383,0.8,0
"165",308601,"0",19,1,1,19,0,1,3,1,15,1,1,1,13492,5930,0,40,60,24807,1,"REJECT",0,24281,0.8,0
"166",308643,"1",21,0,3,0.25,21,3,3,0,16,1,1,1,6886,6637,0,40,60,16736,1,"ACCEPT",41,28532,0.8,1
"167",308643,"1",21,0,3,0.25,21,3,3,0,16,2,1,1,4184,4003,0,45,55,9721,1,"ACCEPT",48,11635,0.9,1
"168",308643,"1",21,0,3,0.25,21,3,3,0,16,3,1,1,14259,2342,0,35,0,6025,1,"ACCEPT",46,15361,0.7,1
"169",308643,"1",21,0,3,0.25,21,3,3,0,16,4,1,1,8197,2928,0,43,57,23754,1,"ACCEPT",50,10910,0.86,1
"170",308643,"1",21,0,3,0.25,21,3,3,0,16,5,0,0,16211,2118,0,40,60,8122,1,"ACCEPT",37,8424,0.8,1
"171",308645,"1",20,0,3,0.333333333333333,20,3,2,0,18,3,1,0,3793,2282,0,42,58,7997,1,"ACCEPT",50,7245,0.84,1
"172",308645,"1",20,0,3,0.333333333333333,20,3,2,0,18,5,1,0,2578,3337,0,44,56,4934,1,"ACCEPT",50,5812,0.88,1
"173",308645,"1",20,0,3,0.333333333333333,20,3,2,0,18,2,1,1,4891,3424,0,41,59,12443,1,"ACCEPT",50,9583,0.82,1
"174",308645,"1",20,0,3,0.333333333333333,20,3,2,0,18,4,1,0,1981,2766,0,43,57,16297,1,"ACCEPT",50,5999,0.86,1
"175",308645,"1",20,0,3,0.333333333333333,20,3,2,0,18,1,1,1,69059,9227,0,40,60,18909,1,"ACCEPT",50,21287,0.8,1
"176",308653,"0",19,0,1,19,0,4,1,0,17,1,1,1,6293,4143,0,50,50,14540,1,"ACCEPT",50,41346,1,1
"177",308653,"0",19,0,1,19,0,4,1,0,17,5,1,1,5973,4309,0,51,49,4909,1,"ACCEPT",45,24370,0.98,1
"178",308653,"0",19,0,1,19,0,4,1,0,17,2,1,0,4737,3760,0,52,48,10163,1,"ACCEPT",40,10615,0.96,1
"179",308653,"0",19,0,1,19,0,4,1,0,17,3,1,1,5259,4962,0,48,52,8922,1,"ACCEPT",30,54366,0.96,1
"180",308653,"0",19,0,1,19,0,4,1,0,17,4,0,0,7290,7146,0,42,58,9224,1,"REJECT",0,13041,0.84,0
"181",308780,"1",20,1,3,0.333333333333333,20,4,3,0,18,3,1,1,4393,2715,0,40,60,5150,0,"50",50,5546,0.8,1
"182",308780,"1",20,1,3,0.333333333333333,20,4,3,0,18,1,1,1,69294,6414,0,50,50,22337,0,"50",50,18253,1,1
"183",308780,"1",20,1,3,0.333333333333333,20,4,3,0,18,2,1,1,5263,6264,0,40,60,6666,0,"50",50,6902,0.8,1
